12 12
3.0824	3.5318	4.0369	3.0498	3.6617	3.356	2.4752	2.5861	3.0708	1.7467	2.4465	2.8108
3.5318	20.00	5.0019	3.7593	4.5382	4.4429	3.298	3.3821	3.5773	2.8609	3.1736	3.6863
4.0369	5.0019	25.00	4.1669	5.4129	4.9928	3.7698	3.6765	4.5555	3.0098	3.7641	4.1927
3.0498	3.7593	4.1669	4.2163	4.2643	4.1791	3.097	3.0752	2.857	2.6407	3.3005	3.0766
3.6617	4.5382	5.4129	4.2643	6.1219	5.1088	4.202	3.6285	4.1038	3.0399	4.3599	3.9634
3.356	4.4429	4.9928	4.1791	5.1088	6.4027	4.8402	3.9248	4.2788	3.7276	3.2871	3.6191
2.4752	3.298	3.7698	3.097	4.202	4.8402	3.9845	2.9315	3.487	3.0446	2.831	2.8779
2.5861	3.3821	3.6765	3.0752	3.6285	3.9248	2.9315	2.9225	2.7076	2.4143	2.6223	2.593
3.0708	3.5773	4.5555	2.857	4.1038	4.2788	3.487	2.7076	4.2366	2.4514	2.6761	3.3112
1.7467	2.8609	3.0098	2.6407	3.0399	3.7276	3.0446	2.4143	2.4514	3.1098	2.3644	2.1572
2.4465	3.1736	3.7641	3.3005	4.3599	3.2871	2.831	2.6223	2.6761	2.3644	4.2204	3.3662
2.8108	3.6863	4.1927	3.0766	3.9634	3.6191	2.8779	2.593	3.3112	2.1572	3.3662	3.9182
